minerful,alloy,knobab
absence,Absence,Absence1
absence2,--,Absence2
absence3,--,Absence3
alternate precedence,AlternatePrecedence,AltPrecedence
alternate response,AlternateResponse,AltResponse
alternate succession,--,AltSuccession
chain precedence,ChainPrecedence,ChainPrecedence
chain response,ChainResponse,ChainResponse
chain succession,--,ChainSuccession
choice,Choice,Choice
co-existence,--,CoExistence
exactly1,--,--
exactly2,--,--
exclusive choice,ExclusiveChoice,ExclChoice
existence,Existence,Exists1
existence2,--,Exists2
existence3,--,Exists3
init,Init,Init
not chain succession,--,--
not co-existence,--,--
not succession,--,--
precedence,Precedence,Precedence
response,Response,Response
responded existence,RespondedExistence,RespExistence
succession,--,Succession
not chain precedence,NotChainPrecedence,--
not chain response,NotChainResponse,--
not precedence,NotPrecedence,--
not response,NotResponse,--
not responded existence,NotRespondedExistence,--